month,day,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
January,1,,1046645.777,719163.117,981060.98,974047.233,758765.324,812931.573,559171.87,910345.38,715301.203,,1063137.704,939918.406,611292.598,799386.617,666198.883,630570.506,701272.839,910104.508,1022119.075,920601.572,698170.644,591604.705,768554.701,714404.193,519267.286,744192.48,574632.473,671551.576,641360.722,677153.424,670062.854,626229.572,636493.921,630541.971,673812.09,623816.282,659024.102,544845.716,498258.542
,2,,1060786.39,749337.073,964951.174,979504.833,740352.036,784671.064,566785.681,904885.723,726048.263,,1066012.142,932400.661,603934.524,795129.246,675645.581,630852.689,712271.23,918549.243,1015013.697,913131.283,711348.679,584832.628,763360.679,718815.987,530342.086,750700.605,578508.531,671747.575,635141.513,671884.174,685409.211,640156.76,647021.967,612910.706,665388.747,629540.977,656758.072,534751.859,500233.244
,3,,1078319.958,763615.565,965825.078,985265.091,759423.237,757009.561,575760.123,928917.005,747903.382,,1078176.536,932531.871,601282.784,784722.243,695201.505,628531.823,727209.871,924630.157,1005593.321,905761.697,716558.596,581010.013,762279.083,722668.524,548450.994,745217.179,596640.076,665922.197,623591.363,675866.367,701371.465,652077.503,657687.387,597913.899,643269.812,631511.436,657578.751,527578.195,506243.511
,4,,1069676.325,794841.102,968819.019,1002545.213,762525.005,747131.501,594130.781,953564.447,749345.813,,1080525.188,929709.764,608074.872,786468.078,707137.378,629239.795,727444.733,923923.752,1006901.499,874537.15,712264.437,579122.571,768118.997,729718.06,564205.106,738947.1,600970.046,653574.887,612697.949,674269.973,713075.999,661591.633,660469.876,581651.487,634426.928,639442.239,661162.683,529488.881,515476.586
,5,,1070728.338,790153.863,970488.274,1013762.746,765487.647,727762.714,606442.701,965036.729,749886.529,,1076988.768,926656.663,617440.366,789683.709,710817.406,625432.03,724098.746,917315.827,1024365.982,860139.434,717502.975,577365.214,779057.794,728729.284,585512.055,733139.773,601251.249,637634.59,614568.46,678112.146,721685.521,668549.357,669879.871,572010.011,627745.959,640876.366,653969.089,532486.969,528188.394
,6,,1050657.661,786475.968,970699.835,1039152.839,784489.286,717193.824,613077.415,982480.431,758544.762,,1083013.743,925646.034,621125.202,799841.658,713205.491,625084.605,720765.566,908615.493,1043126.748,849818.443,723959.632,589492.052,791790.724,717964.114,606950.149,729493.8,591943.115,617293.196,626369.941,681730.812,728332.457,675256.004,682989.096,565113.71,621313.948,636943.957,646976.079,551286.85,538112.046
,7,,1031452.683,790106.727,990185.189,1063519.242,774689.878,711715.714,628609.471,986622.84,764045.952,,1079538.373,924425.102,620077.153,798448.891,721416.271,639612.364,708021.794,893178.067,1058834.129,840253.418,730604.219,596402.595,803301.565,714985.543,624999.953,725668.996,585520.843,601650.641,633615.926,684774.964,736086.64,680296.749,688595.775,566525.799,626360.41,626105.401,640808.734,583450.137,541103.511
,8,,1022581.589,789073.815,1001491.341,1087603.692,763251.997,713028.368,645943.129,991444.476,773799.953,,1066765.301,922192.168,623612.367,803005.227,718127.988,650002.676,690198.356,863173.737,1080531.505,833041.829,735696.761,599491.389,815923.909,717583.745,637283.858,740292.416,570267.276,597553.108,642071.148,677735.408,739952.166,690905.111,690784.834,568665.921,632321.78,613578.134,630524.637,590452.661,544347.628
,9,,1007677.853,781788.854,1001880.285,1112852.81,768238.234,705854.861,653478.645,999859.909,784584.592,,1060838.304,915190.907,617118.05,810541.001,712426.497,650932.374,687944.109,839279.387,1103175.361,838773.326,739838.939,597500.301,827516.547,717845.238,650397.342,745550.716,567874.707,603814.873,643213.905,675767.344,742886.95,698065.061,694718.655,570224.839,637844.41,600466.024,612570.316,588448.482,545615.959
,10,,1020811.288,782293.588,1015907.036,1128648.03,766650.886,714753.659,652809.891,1005799.218,759081.856,,1075903.852,903367.745,610743.367,819803.023,712541.379,668444.96,684873.039,818029.452,1111411.794,840958.567,740216.152,595156.174,841405.359,719100.522,659399.091,742953.027,568989.429,610916.805,647141.659,676524.031,743974.734,702228.308,692351.178,568147.64,644019.323,596353.056,603456.063,588920.485,547186.96
