############### year, month, day, lat, lon, total concentration ###############
2017,05,19,78.9728,9.8824,0
2017,05,19,79.0175,9.5672,0
2017,05,19,79.2818,9.2151,0
2017,05,19,79.4357,8.8863,0
2017,05,19,79.6136,8.3837,0
2017,05,19,79.6983,8.0707,0
2017,05,19,79.8293,7.6667,1
2017,05,19,79,9750,7.2911,4
2017,05,19,80.0287,7.1343,7
2017,05,19,80.0504,7.0759,7
2017,05,19,80.0690,7.0344,7
2017,05,19,80.0786,6.9712,9
2017,05,19,80.1007,7.0108,8
2017,05,19,80.1163,7.0839,9
2017,05,19,80.1380,7.0727,7
2017,05,19,80.1527,7.0040,8
2017,05,19,80.1533,6.9867,7
2017,05,19,80.0919,6.5864,9
2017,05,20,80.1549,6.9603,7
2017,05,20,80.1576,6.9654,7
2017,05,20,80.1581,6.9854,8
2017,05,20,80.1574,7.0171,8
2017,05,20,80.1612,7.0514,7
2017,05,20,80.1718,6.9452,7
2017,05,20,80.1689,6.8602,7
2017,05,20,80.1680,6.8551,7
2017,05,20,80.1733,6.8483,7
2017,05,20,80.1872,6.8581,7
2017,05,21,80.1914,6.8476,8
2017,05,21,80.1916,6.8687,7
2017,05,21,80.1344,6.7993,8
2017,05,21,80.0957,6.6336,7
2017,05,21,80.0883,6.5883,7
2017,05,21,80.0902,6.5626,7
2017,05,21,80.1053,6.5497,7
2017,05,21,80.1033,6.5429,8
2017,05,21,80.0883,6.4683,7
2017,05,22,80.0738,6.4407,7
2017,05,22,80.0550,6.4248,6
2017,05,22,79.9960,6.3960,8
2017,05,22,80.0052,6.3399,7
2017,05,22,80.0668,6.5416,7
2017,05,22,80.1094,6.4477,7
2017,05,22,80.1006,6.4083,9
2017,05,22,80.1032,6.3782,4
2017,05,22,80.0774,6.3845,9
2017,05,22,80.0734,6.3556,9
2017,05,22,80.0716,6.3391,8
2017,05,22,80.0713,6.3309,9
2017,05,22,80.0705,6.3332,7
2017,05,23,79.9552,6.8541,1
2017,05,23,79.8585,7.3760,6
2017,05,23,79.7767,7.7967,4
2017,05,23,79.6576,8.3816,1
2017,05,23,79.5062,9.0935,0
2017,05,23,79.3836,9.8055,0
2017,05,23,79.2718,10.000,0
2017,05,23,78.9751,11.7202,0




